Variable,SHAP medio (disease),SHAP medio (no disease),Diferencia
age,0.24080761576021112,-0.13707547466232298,0.3778830904225341
sex,0.03394972250485561,-0.12882094485974713,0.16277066736460274
cp,0.6517364847511301,-0.46880144101781607,1.120537925768946
trestbps,0.16273879483029907,-0.13068886059328594,0.293427655423585
restecg,0.05020247841799806,-0.016983250260012246,0.06718572867801031
thalach,0.06740055587519411,-0.14301338794208662,0.21041394381728074
exang,0.10884665405409485,-0.16876176672874357,0.2776084207828384
oldpeak,0.4630153455718436,-0.27345461637377316,0.7364699619456168
slope,0.05029440670016154,-0.06357989612889765,0.11387430282905919
ca,1.0119150673642958,-0.3622804719331441,1.3741955392974399
thal,0.07136480183028902,-0.6064161894878177,0.6777809913181068
