Variable,SHAP medio (disease),SHAP medio (no disease),Diferencia
age,-0.05059381913274802,0.028665807264526045,-0.07925962639727406
sex,0.10576668123537028,-0.21530702091812898,0.3210737021534993
cp,0.29120379814041036,-0.19659203781341472,0.4877958359538251
trestbps,0.1603495995718378,-0.08561116537511225,0.24596076494695007
restecg,0.15822768669622495,-0.029249764224632685,0.18747745092085763
thalach,0.12781486448997412,-0.24809945489146232,0.37591431938143643
exang,0.31648847784679357,-0.14569262026898344,0.462181098115777
oldpeak,0.15798578937019309,-0.22883129316150153,0.3868170825316946
slope,0.12214172706644745,-0.16994211468450246,0.2920838417509499
ca,1.0500394007509621,-0.22390387681435375,1.273943277565316
thal,0.2569606686991829,-0.5743168460673665,0.8312775147665494
