Variable,SHAP medio (disease),SHAP medio (no disease),Diferencia
age,0.016911263349101303,-0.0070810367780820725,0.023992300127183376
sex,0.005637585329776034,-0.008891907177003026,0.014529492506779061
cp,0.0997700461199113,-0.06566222440978765,0.16543227052969894
trestbps,0.003692933713541456,-0.0067015358082338355,0.010394469521775291
restecg,0.00789142408085644,-0.00037217333494632003,0.008263597415802761
thalach,0.012260771414302806,-0.02053551368499758,0.03279628509930039
exang,0.02963480111284674,-0.016485506554108204,0.04612030766695495
oldpeak,0.01837483581870132,-0.041697810577408234,0.060072646396109555
slope,0.0101620858016806,-0.01095516577670604,0.02111725157838664
ca,0.10070256201965781,-0.02173016990019769,0.1224327319198555
thal,0.01724819261703472,-0.06190892392958819,0.07915711654662291
