Variable,Random Forest,Grad. Boosting,Logistic Reg.
age,0.036115453014182966,0.5380441379286116,0.0858106190886005
sex,0.022593516794220447,0.3294589953820396,0.41477397293450813
cp,0.11247529011884824,0.8902994383601064,0.46875365488806303
trestbps,0.012331621599953935,0.233223755786305,0.24925966275742198
restecg,0.02312033194477598,0.3305166222961613,0.3541371506731707
thalach,0.03469693993104138,0.4236590376269199,0.35792978754701127
exang,0.04689940260854559,0.29666514040496644,0.44203158681488186
oldpeak,0.06626898335764048,0.516709433046064,0.3596993909445806
slope,0.03875611627841193,0.24590627661345912,0.3311643493055934
ca,0.10212386969838426,1.1124589712163608,0.811273941009269
thal,0.09789422205385565,0.8689732190462647,0.6594258264253691
